No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
206	zxcvbn	Dart port of DropBox's zxcvbn library.	1.0.0	88.64227501300503	10	7	4	2	careapp-inc	careapp.com.au	MIT	2021-05-27T03:14:44.000Z	https://github.com/careapp-inc/zxcvbn-dart
207	socket_io_common	Socket.io common parser library.	2.0.2	88.52089474596843	4	6	17	0	rikulo		MIT	2022-10-25T03:16:39.000Z	https://github.com/rikulo/socket_io_common
208	stats	Calculate common statistical values for a set of numbers: max, min, mean, median, standard deviation, and standard error.	2.0.0	88.4905496792093	23	8	5	2	kevmoo	j832.com	MIT	2022-10-26T00:49:30.000Z	https://github.com/kevmoo/stats
209	normalize	Normalization and denormalization of GraphQL responses in Dart	0.8.0	88.46887463152419	8	480	90	52	gql-dart	gql-dart.dev	MIT	2022-12-19T20:07:48.000Z	https://github.com/gql-dart/ferry
210	fuzzywuzzy	An implementation of the popular fuzzywuzzy package in Dart, to suit all your fuzzy string matching/searching needs!	0.2.0	88.43852956476505	48	22	3	3	SphericalKat	sphericalk.at	GPL-2.0	2022-06-26T07:19:47.000Z	https://github.com/sphericalkat/dart-fuzzywuzzy
211	nyxx	A Discord library for Dart. Simple, robust framework for creating discord bots for Dart language.	4.4.0	88.4081844980059	71	264	40	4	nyxx-discord	l7ssha.xyz	Apache-2.0	2022-12-12T17:07:06.000Z	https://github.com/nyxx-discord/nyxx
212	gson	Parses and encodes the json generated by GSON (Can parse minecraft's json)	0.1.4	88.38217444078377	14	2	2	3	MinimineLP		BSD-2-Clause	2021-03-21T13:09:29.000Z	https://github.com/MinimineLP/dart-gson
213	redis	Redis database (https://redis.io/) client, with both simplicity and performance as primary goals.	3.1.0	88.36916941217271	87	63	27	2	ra1u		AGPL-3.0	2022-05-08T11:03:46.000Z	https://github.com/ra1u/redis-dart
214	graphql_codegen	Simple, opinionated, codegen library for GraphQL. It allows you togenerate serializers and client helpers to easily call and parse your data.	0.11.2	88.35616438356165	57	85	37	16	heftapp	heft.app	MIT	2022-12-14T11:20:16.000Z	https://github.com/heftapp/graphql_codegen/tree/main/packages/graphql_codegen
215	aes_crypt_null_safe	Dart encryption library for encrypting/decrypting files, plain text and binary data in AES Crypt file format.	2.0.2	88.29113924050634	14	3	1	0	CodingFries	codingfries.com	MIT	2021-12-15T06:47:17.000Z	https://github.com/CodingFries/aes_crypt_null_safe
216	change_case	An extension on String to transform a string between camelCase, PascalCase, Capital Case, snake_case, param-case, CONSTANT_CASE and others.	1.0.2	88.28680423096931	16	4	0	0	mrgnhnt96	mrgnhnt.com	MIT	2022-02-23T20:13:46.000Z	https://github.com/mrgnhnt96/change_case
217	window_location_href	Cross-platfrom window.location.href. Supports all platforms and is easy.	1.0.1+2	88.25212415467314	5	0	0	0	xclud		MIT	2022-10-24T20:06:12.000Z	https://github.com/xclud/window_location_href
